Date,Avila Adobe
1/1/2014,24778
2/1/2014,18976
3/1/2014,25231
4/1/2014,26989
5/1/2014,36883
6/1/2014,29487
7/1/2014,32378
8/1/2014,37680
9/1/2014,28473
10/1/2014,27995
11/1/2014,25691
12/1/2014,18754
1/1/2015,20438
2/1/2015,15578
3/1/2015,21297
4/1/2015,26670
5/1/2015,34383
6/1/2015,30569
7/1/2015,41242
8/1/2015,30700
9/1/2015,20967
10/1/2015,29764
11/1/2015,24483
12/1/2015,21426
1/1/2016,19659
2/1/2016,17378
3/1/2016,20322
4/1/2016,24521
5/1/2016,31728
6/1/2016,23696
7/1/2016,31689
8/1/2016,25987
9/1/2016,22897
10/1/2016,25040
11/1/2016,17760
12/1/2016,20107
1/1/2017,18792
2/1/2017,14035
3/1/2017,20680
4/1/2017,25234
5/1/2017,30029
6/1/2017,22169
7/1/2017,30831
8/1/2017,27009
9/1/2017,23403
10/1/2017,22164
11/1/2017,17629
12/1/2017,18339
1/1/2018,16265
2/1/2018,14718
3/1/2018,19001
4/1/2018,18966
5/1/2018,25173
6/1/2018,22171
7/1/2018,23136
8/1/2018,20815
9/1/2018,21020
10/1/2018,19280
11/1/2018,17163
