Country,Corporate tax (excl. dividend taxes),Individual income tax - Lowest marginal rate,Individual income tax - Highest marginal rate,VAT or GST or Sales tax,Capital gains tax[1],Inheritance/Estate Tax,Further reading
Afghanistan,20%[2],0%[3],20%[3],"0%[4] However, in Taliban run areas pre-Taliban rule, small fees were illegally added to some groceries.[5]",,,Taxation in Afghanistan
Albania,15%[6],0%[7],23%[7],20% (standard rate)6% (tourism services)[8],15%,,Taxation in Albania
Algeria,26% (highest rate)19% (lowest rate)[9],0%[10],35%[10],19% (standard rate)[11]9% (basic items)[11],"15% resident, 20% non-resident",,Taxation in Algeria
American Samoa,34% [6],4%[12][13],6%[13],0%[14][13],,,Taxation in American Samoa
Andorra,10%[15],0%[16],10%[16],"4.5% (standard rate)9.5% (banking services)2.5%, 1% or 0% (reduced rates)[17]",,,Taxation in Andorra
Angola,30%[18],0%[18],17%[18],10%[18],10%,,Taxation in Angola
Anguilla,0%[19],0%[19],0%[19],0%[19],,,Taxation in Anguilla
Antigua and Barbuda,25%[20],0%[21],0%[21],15%[22],,,
Argentina,35% for residents15% for non residents[23],9%[23],35%[23],21%[23],15%,,Taxation in Argentina
Armenia,18%[24],22%[24],22%[24],20%[24],10-20%,,Taxation in Armenia
Aruba,25%[25],7%[25],58.95%[25],1.5% (turnover tax)[25],,,Taxation in Aruba
Australia,30% (standard rate)25% (base entity rate)[26][Note 1],0%[26],45%[27][Note 2],10% (standard rate)0% (essential items)[26],0-45% (Same as income tax rate),,Taxation in Australia
Austria,25%[28],0%[28],55%[28],20% (standard rate)13% (tourism services)10% (basic items)[28],27.50%,,Taxation in Austria
Azerbaijan,20%[29],14%[29],25%[29],18%[29],25%,,Taxation in Azerbaijan
Azores,"13.6% (available to SMEs and applicable up to a taxable profit of €15000)[30]
16.8% (general rate)",0.0% (for monthly salaries up to €654) + social security charges[31],"36.2% (for monthly salaries above €25,200) + social security charges[32]","4% (reduced rate)
9% (intermediate rate)
16% (standard rate)[33]",,,Taxation in Portugal
Bahamas[34],0%[35],0%,0% + 8.8% social security tax,12% (standard rate)[36],,,Taxation in the Bahamas
Bahrain,0%[37],0%,0%,10% (standard rate)0% (essential goods),,,Taxation in Bahrain
Bangladesh[38],32.5%[39],0%,25%,15%,,,Taxation in Bangladesh
Barbados[citation needed],5.5% (on profits not over BBD$1 million)3.0% (over BBD$1 million but not over BBD$20 million)2.5% (over BBD$20 million but not over BBD$30 million)1.0% (over BBD$30 million)[40],25%,38%,17.5% (standard rate)7.5% (hotel services),,,Taxation in Barbados
Belarus[41],20%,"48% (12% income tax, 1% mandatory insurance, 35% social security)","48% (12% income tax, 1% mandatory insurance, 35% social security)",20% (standard rate)10% (reduced rate),,,Taxation in Belarus
