Date,Firehouse Museum
1/1/2014,4486
2/1/2014,4172
3/1/2014,7082
4/1/2014,6756
5/1/2014,10858
6/1/2014,5751
7/1/2014,5406
8/1/2014,8619
9/1/2014,61192
10/1/2014,6488
11/1/2014,4189
12/1/2014,4339
1/1/2015,3858
2/1/2015,3742
3/1/2015,5390
4/1/2015,7000
5/1/2015,12528
6/1/2015,5377
7/1/2015,6111
8/1/2015,5383
9/1/2015,5746
10/1/2015,8882
11/1/2015,6848
12/1/2015,4502
1/1/2016,4377
2/1/2016,3675
3/1/2016,6334
4/1/2016,6509
5/1/2016,9315
6/1/2016,4918
7/1/2016,5602
8/1/2016,5181
9/1/2016,4736
10/1/2016,6145
11/1/2016,3930
12/1/2016,3911
1/1/2017,3551
2/1/2017,3491
3/1/2017,5273
4/1/2017,5320
5/1/2017,8733
6/1/2017,4862
7/1/2017,5242
8/1/2017,5379
9/1/2017,4484
10/1/2017,4822
11/1/2017,4613
12/1/2017,4448
1/1/2018,3910
2/1/2018,3306
3/1/2018,5225
4/1/2018,4535
5/1/2018,8013
6/1/2018,4635
7/1/2018,4191
8/1/2018,4866
9/1/2018,4956
10/1/2018,4622
11/1/2018,4082
