Date,Avila Adobe,Firehouse Museum
1/1/2014,24778,4486
2/1/2014,18976,4172
3/1/2014,25231,7082
4/1/2014,26989,6756
5/1/2014,36883,10858
6/1/2014,29487,5751
7/1/2014,32378,5406
8/1/2014,37680,8619
9/1/2014,28473,61192
10/1/2014,27995,6488
11/1/2014,25691,4189
12/1/2014,18754,4339
1/1/2015,20438,3858
2/1/2015,15578,3742
3/1/2015,21297,5390
4/1/2015,26670,7000
5/1/2015,34383,12528
6/1/2015,30569,5377
7/1/2015,41242,6111
8/1/2015,30700,5383
9/1/2015,20967,5746
10/1/2015,29764,8882
11/1/2015,24483,6848
12/1/2015,21426,4502
1/1/2016,19659,4377
2/1/2016,17378,3675
3/1/2016,20322,6334
4/1/2016,24521,6509
5/1/2016,31728,9315
6/1/2016,23696,4918
7/1/2016,31689,5602
8/1/2016,25987,5181
9/1/2016,22897,4736
10/1/2016,25040,6145
11/1/2016,17760,3930
12/1/2016,20107,3911
1/1/2017,18792,3551
2/1/2017,14035,3491
3/1/2017,20680,5273
4/1/2017,25234,5320
5/1/2017,30029,8733
6/1/2017,22169,4862
7/1/2017,30831,5242
8/1/2017,27009,5379
9/1/2017,23403,4484
10/1/2017,22164,4822
11/1/2017,17629,4613
12/1/2017,18339,4448
1/1/2018,16265,3910
2/1/2018,14718,3306
3/1/2018,19001,5225
4/1/2018,18966,4535
5/1/2018,25173,8013
6/1/2018,22171,4635
7/1/2018,23136,4191
8/1/2018,20815,4866
9/1/2018,21020,4956
10/1/2018,19280,4622
11/1/2018,17163,4082
